Name,Latitude,Longitude,City,Region,Area,Distance_nm_from_STYC,Address,Phone,Pin_Confidence
Oro Bay Yacht Club,47.135484,-122.700284,Anderson Island,Puget Sound South,Puget Sound South,40,"13312 Agate Beach Rd, Anderson Island, WA 98303 (Oro Bay Marina)",,Moorage marina/harbor
Quartermaster Yacht Club,47.393866,-122.466089,Vashon,Puget Sound South,Puget Sound South,20,"23428 Vashon Hwy SW, Vashon, WA 98070",+1 206-498-8348,Club location
Shelton Yacht Club,47.214364,-123.086489,Shelton,Puget Sound South,Puget Sound South,45,"701 E Pine St, Shelton, WA 98584",+1 360-426-9476,Club location
Three Tree Point Yacht Club,47.450377,-122.382348,Des Moines,Puget Sound South,Puget Sound South,20,"Three Tree Point, Burien, WA 98166",,Approximate
Totem Yacht Club,47.297903,-122.514071,Tacoma,Puget Sound South,Puget Sound South,29,"5045 N Highland St, Ruston, WA 98407",+1 253-759-9062,Club location
Anacortes Yacht Club,48.516769,-122.605008,Anacortes,Northern Inland Waters,San Juans & North Sound,58,"611 T Ave, Anacortes, WA 98221",+1 360-293-5277,Club location
Bellingham Yacht Club,48.757603,-122.504986,Bellingham,Northern Inland Waters,San Juans & North Sound,75,"2625 S Harbor Loop Dr, Bellingham, WA 98225",+1 360-733-7390,Club location
Birch Bay Village Yacht Club,48.935821,-122.785327,Blaine,Northern Inland Waters,San Juans & North Sound,88,"Birch Bay Village, Blaine, WA 98230",,Moorage marina/harbor
Corinthian Yacht Club of Bellingham,48.7545,-122.51,Bellingham,Northern Inland Waters,San Juans & North Sound,75,"Squalicum Harbor, Bellingham, WA 98225",,Approximate
Deer Harbor Yacht Club,48.630181,-122.999084,Deer Harbor,Northern Inland Waters,San Juans & North Sound,71,"Deer Harbor, Orcas Island, WA 98245",,Approximate
Fidalgo Yacht Club,48.494998,-122.686786,Anacortes,Northern Inland Waters,San Juans & North Sound,58,"6046 Sands Way, Anacortes, WA 98221",+1 360-299-9123,Club location
Flounder Bay Yacht Club,48.49237,-122.680598,Anacortes,Northern Inland Waters,San Juans & North Sound,57,"Flounder Bay (Skyline), Anacortes, WA 98221",,Moorage marina/harbor
Orcas Island Yacht Club,48.632335,-122.959787,Eastsound,Northern Inland Waters,San Juans & North Sound,71,"876 Deer Harbor Rd, Eastsound, WA 98245",+1 360-376-5577,Club location
Point Roberts Marina Resort,48.977275,-123.06315,Point Roberts,Northern Inland Waters,San Juans & North Sound,94,"713 Simundson Dr, Point Roberts, WA 98281",+1 360-945-2255,Club location
Point Roberts Yacht Club,48.9768,-123.0622,Point Roberts,Northern Inland Waters,San Juans & North Sound,95,"Point Roberts Marina, Point Roberts, WA 98281",,Moorage marina/harbor
Semiahmoo Yacht Club,48.989014,-122.772435,Blaine,Northern Inland Waters,San Juans & North Sound,92,"9540 Semiahmoo Pkwy, Blaine, WA 98230 (Semiahmoo Marina)",+1 360-371-0440,Moorage marina/harbor
Bellevue Yacht Club,47.575434,-122.187588,Bellevue,Seattle Area,Seattle & Central Sound,12,"3911 Lake Washington Blvd SE, Bellevue, WA 98006",+1 206-914-6562,Club location
Hidden Harbor Yacht Club,47.668,-122.376,Seattle,Seattle Area,Seattle & Central Sound,2,"Seattle, WA - approximate, verify",,ESTIMATE - verify
Dagmars Yacht Club,48.011766,-122.178341,Everett,Whidbey & Everett,Whidbey & Everett,25,"1870 Ross Ave, Everett, WA 98201 (Dagmars Marina)",+1 425-259-6124,Moorage marina/harbor
Milltown Sailing Association,48.001502,-122.220652,Everett,Whidbey & Everett,Whidbey & Everett,24,"615 Millwright Lp N, Everett, WA 98201",+1 425-259-5275,Club location
Navy Yacht Club - Everett,47.989953,-122.218525,Everett,Whidbey & Everett,Whidbey & Everett,24,"Naval Station Everett, 2000 W Marine View Dr, Everett, WA 98201",,Approximate
Oak Harbor Yacht Club,48.28785,-122.632496,Oak Harbor,Whidbey & Everett,Whidbey & Everett,43,"1301 SE Catalina Dr, Oak Harbor, WA 98277",+1 360-675-1314,Club location
Shelter Bay Yacht Club,48.380783,-122.515746,La Conner,Whidbey & Everett,Whidbey & Everett,49,"Shoshone Dr, La Conner, WA 98257",,Club location
Swinomish Yacht Club,48.39401,-122.495381,La Conner,Whidbey & Everett,Whidbey & Everett,50,"310 N 1st St, La Conner, WA 98257",+1 360-466-4902,Club location
